candidate_id,family,chemistry_class,source,closed_graph_delta_g_kcal_per_mol,panel_relative_ddg_kcal_per_mol,pbcnet_relative_ddg_kcal_per_mol,panel_id,pbcnet_rank,panel_local_score_rank,rbfe_edge_present,rbfe_edge_count,solvent_or_water_probe,closed_graph_loop_ids,runtime_ligand_path,ligand_path,admet_gate_state,admet_property_role,admet_risk_norm,solubility_status,permeability_status,toxicity_status,admet_property_packet_schema,admet_property_packet_proof_path
JTY027_aniline_diF_2F6Me_benzamide,JTY027,benzamide,panel_queue_only,,-0.11124449553161368,,jty_pbcnet_winner_family_exploitation_r1,4,4,,,,,,,hold,jty027_property_followup,0.43350000000000005,hold,admit,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
JTY027_aniline_diF_2F_benzamide,JTY027,benzamide,pbcnet_runtime_ligand_scan,,0.49525359503492444,,jty_pbcnet_winner_family_exploitation_r1,8,8,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY027_aniline_diF_2F_benzamide.sdf,,hold,permeability_preserving_matched_pair,0.43350000000000005,hold,admit,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
JTY027_aniline_diF_2Me6Cl_benzamide,JTY027,benzamide,panel_queue_only,,0.06789628476703102,,jty_pbcnet_winner_family_exploitation_r1,6,6,,,,,,,hold,jty027_property_followup,0.5505,hold,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
JTY027_aniline_diF_2Me_benzamide,JTY027,benzamide,pbcnet_runtime_ligand_scan,,0.0,,jty_pbcnet_winner_family_exploitation_r1,5,5,,,,,/usr/local/jldos/evidence/pbcnet/jty027_winner_family_gapfill_20260421T0400Z/runtime/ligands/JTY027_aniline_diF_2Me_benzamide.sdf,,hold,incumbent_control,0.43350000000000005,hold,admit,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
JTY027_aniline_diF_2OcPr_benzamide,JTY027,benzamide,panel_queue_only,,,,jty_pbcnet_winner_family_exploitation_r1,,,,,,,,,,,,,,,,
JTY027_aniline_diF_2cPr_benzamide,JTY027,benzamide,panel_queue_only,,,,jty_pbcnet_winner_family_exploitation_r1,,,,,,,,,,,,,,,,
JTY027_aniline_diF_deCl,JTY027,aniline,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY027_aniline_diF_deCl.sdf,,,,,,,,,
JTY027_aniline_diF_deCl_26diF_benzamide,JTY027,benzamide,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY027_aniline_diF_deCl_26diF_benzamide.sdf,,,,,,,,,
JTY027_aniline_diF_deCl_2F6Me_benzamide,JTY027,benzamide,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY027_aniline_diF_deCl_2F6Me_benzamide.sdf,,,,,,,,,
JTY027_aniline_diF_deCl_2F_benzamide,JTY027,benzamide,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY027_aniline_diF_deCl_2F_benzamide.sdf,,,,,,,,,
JTY027_aniline_diF_deCl_2Me_benzamide,JTY027,benzamide,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY027_aniline_diF_deCl_2Me_benzamide.sdf,,,,,,,,,
JTY027_aniline_diF_deCl_2OMe_benzamide,JTY027,benzamide,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY027_aniline_diF_deCl_2OMe_benzamide.sdf,,,,,,,,,
